id,name,categories,latitude,longitude,address,zip_code,price,rating,review_count,url,walk_score
zs14opUeJSmgHB7r32y2eg,Shishman Mediterranean Grill,halal mediterranean ,30.3211712,-97.7395176,5000 Burnet Rd,78705.0,$,4.0,23,https://www.yelp.com/biz/shishman-mediterranean-grill-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,84
RzQcbV1vuWXLPU-cdZEAHA,Delray Cafe,hotdog burgers ,30.268559999999997,-97.7281,1133 E 11th St,78702.0,,4.0,4,https://www.yelp.com/biz/delray-cafe-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,91
2OPx_aBOE_ZOrEhTDkY-DA,Taqueria Piedra Grande,tacos ,30.24343449,-97.72976062,1799 E Riverside Dr,78741.0,$,3.5,7,https://www.yelp.com/biz/taqueria-piedra-grande-austin-6?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,80
IMkyTRkebwxBCOwDa9QE2A,Tacos 3 Mayes,mexican ,30.22754142,-97.72718534,2433 S Pleasant Valley Rd,78741.0,,4.5,15,https://www.yelp.com/biz/tacos-3-mayes-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,43
Pxd9BjsnpNBFeUY_tkacXQ,Raw808 Super Food Smoothies,unknown,30.38263,-97.68665,11300 N Lamar Blvd,78753.0,,4.5,2,https://www.yelp.com/biz/raw808-super-food-smoothies-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,59
xfp_XmXTiwqoZCMtxDfzxg,The Bakers Rack,mexican ,30.2572036,-97.7133125,2607 E 5th St,78702.0,$,2.5,3,https://www.yelp.com/biz/the-bakers-rack-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,85
4HF1-isiiwUrlC9NogaRBQ,The Mighty Cone,newamerican foodstands tacos ,30.263510600000004,-97.7628834,1720 Barton Springs Rd,78704.0,$,3.5,390,https://www.yelp.com/biz/the-mighty-cone-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,69
bsh0QPcNL2BrcuCtCl8Qzw,Sno-Beach,shavedice ,30.26457321,-97.76328211,412 Sterzing St,78704.0,$,4.5,207,https://www.yelp.com/biz/sno-beach-austin-4?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,72
xFgIiLmJVCKqKX8Ra_ZNQQ,Chi'Lantro,korean bbq ,30.39442,-97.720184,11005 Burnet Rd,78758.0,$,4.0,231,https://www.yelp.com/biz/chilantro-austin-6?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,48
UbP_JuB-zHHfLz2dvKe9yw,Taqueria Peloncitos,mexican ,30.192790000000002,-97.73865,5303 Nuckols Crossing Rd,78744.0,$,5.0,5,https://www.yelp.com/biz/taqueria-peloncitos-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,66
Iak6u_IQNHpprw9f_fBsdQ,Burrito Mexicano,mexican ,30.35391049,-97.70537148,8510 N Lamar Blvd,78753.0,,5.0,1,https://www.yelp.com/biz/burrito-mexicano-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,63
WEF2KqSulVcdZ0_DtTjqhA,El Rey Del Taco,streetvendors mexican ,30.268256199999996,-97.72709968,1207 E 11th St,78702.0,,5.0,1,https://www.yelp.com/biz/el-rey-del-taco-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,90
